,body,urgency,keywords,sentiments
0,Need access to my financial information.,4,access financial information,0.190797865
1,How do i open a cpf account?,3,cpf account,0.838047504
2,I have troubles logging in to my CPF account.,4,troubles CPF account,0.070860356
3,I forgot my singpass password.,4,singpass password,0.007142663
4,I have encountered a problem when using the online nomination service. Can you help me please?,2,problem online nomination service,0.751052022
5,I want to add a beneficiary so that they can get my bequest.,2,beneficiary bequest,0.738036096
6,Need valuation report to use my CPF savings to purchase property.,2,CPF savings valuation report property,0.5
7,Am i eligible for the Drive and Save scheme?,2,Drive scheme,0.749246597
8,I need access to Medisave/Medishield reimbursement via E-file transfer.,3,Medishield reimbursement E-file transfer Medisave access,0.5
9,There is a bug in the cpf mobile app.,3,bug cpf mobile,0.5
10,I want to set up a direct debit authorisation arrangement with my bank for deduction of service fees. How can i start?,4,bank direct debit authorisation arrangement deduction of service fees start,0.261814475
11,My kid keeps saying that it is possible to receive my cpf savings via paynow. What exactly is paynow?,2,paynow cpf savings kid,0.5
12,How can i install paynow to receive my cpf savings? ,2,paynow cpf savings,0.780078292
13,"I am currently not working, am I not entitled to cpf contributions?",1,cpf contributions,0.270469874
14,"Hello, the app is behaving strangely, blue screen is appearing in middle.",5,blue screen app middle,0.729058266
15,My Internet is not working.,5,Internet,0.002755821
16,"Account got locked, because of 3 wrong attempts os password. Could you please reset the password",5,wrong attempts os password Account,0.058495462
17,Website hangs.,4,Website hangs,0.787863255
18,Unable to connect to Internet.,4,Internet,0.024649531
19,What is the difference between medisave and medishield life?,1,difference medisave medishield life,0.793619871
20,Is the House Protection Scheme premium deducted from my cpf account? How do i pay for it? ,1,House Protection Scheme premium cpf account,0.913324356
21,What if my cpf account balance is not enough to cover the House Protection Scheme premium?,2,House Protection Scheme premium cpf account balance,0.855951309
22,"Forgot the password, can you please reset the password for me.",4,password,0.091659516
23,Do i need to contribute to Medisave even when I am rich and have enough for my healthcare needs?,3,healthcare needs Medisave,0.78664887
24,How much do I have to pay to use myCPF?,2,myCPF,0.091373503
25,My workfare cheque has just expired. Please help. ,4,workfare cheque,0.052866876
