keyword,frequency
access,1
account,19
accounts,2
age,1
application,1
attempts,1
balance,1
bank,1
bills,1
bug,1
cap,1
capital,1
certain,1
chinese,1
condominium,1
contact,1
contributions,2
cpf,23
cpfis,1
current,1
debts,1
dental,1
details,1
difference,1
email,1
employer,2
event,1
expenses,1
family,1
fees,1
file,1
flat,1
full,1
gambling,1
hdb,2
healthcare,1
history,1
home,1
hospitals,1
housing,2
information,1
insurance,1
internship,1
interview,1
job,1
lags,1
language,1
laptop,1
life,2
logging,1
medical,1
medisave,6
medishield,1
member,1
mobile,1
money,10
needs,1
nomination,3
number,1
nus,1
ordinary,5
particulars,1
password,1
phone,1
private,2
programme,1
project,1
property,1
public,2
ratio,1
reimbursement,1
relevant,1
risks,1
savings,1
scheme,1
schemes,2
school,1
singapore,1
spare,1
special,2
staff,1
student,1
summary,1
talks,1
time,2
transfer,1
treatment,1
various,1
website,5
wrong,1
